"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"Mazda",2023,8826,2.5,1,"Petrol","Four-wheel Drive",24,30,0,1,1,0,0,1,39873
"Toyota",2020,72770,2.7,1,"Petrol","Rear-wheel Drive",20,23,0,1,0,1,0,0,29633
"Jeep",2022,46095,3.6,1,"Petrol","Four-wheel Drive",13,18,0,1,0,0,1,1,39995
"Chevrolet",2017,109555,1.5,1,"Petrol","Front-wheel Drive",27,36,0,0,0,1,0,0,13877
"FIAT",2016,38834,2.4,1,"Petrol","Four-wheel Drive",21,30,1,0,0,1,0,0,16495
"Maserati",2019,39667,3,1,"Petrol","Rear-wheel Drive",16,24,0,1,1,1,0,1,36249
"Jeep",2021,7890,1.3,1,"Petrol","Four-wheel Drive",22,30,0,1,0,1,0,0,26499
"Audi",2020,32289,2,1,"Petrol","Four-wheel Drive",22,30,0,0,1,1,0,1,31980
"Toyota",2011,92446,4,1,"Petrol","Four-wheel Drive",0,16,0,0,0,0,0,0,20988
"Toyota",2019,60835,3.5,1,"Petrol","Front-wheel Drive",21,27,1,0,1,1,1,1,29750
"Nissan",2014,45773,3.5,1,"Petrol","Four-wheel Drive",23,30,1,0,0,1,0,1,18900
"Cadillac",2021,12833,2,1,"Petrol","Rear-wheel Drive",18,25,0,1,1,1,0,0,34571
"Volvo",2015,85268,2,1,"Petrol","Front-wheel Drive",NA,NA,0,0,1,1,0,1,15477
"Lexus",2005,124600,3.3,1,"Petrol","Four-wheel Drive",22,31,1,1,0,0,0,1,7995
"Lexus",2006,138470,4.7,1,"Petrol","Four-wheel Drive",22,28,0,0,0,0,0,1,13995
"Audi",2020,51243,3,1,"Petrol","Four-wheel Drive",20,26,0,1,1,1,0,1,50677
"Jaguar",2017,42049,NA,1,"Petrol","Four-wheel Drive",20,27,0,0,0,1,0,0,22495
"Hyundai",2023,1094,2.5,1,"Petrol","Front-wheel Drive",20,26,0,1,1,0,0,1,35980
"MINI",2012,44555,1.6,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,1,10943
"Mitsubishi",2016,90807,2.4,1,"Petrol","Front-wheel Drive",25,30,0,0,0,1,1,1,13000
"Mazda",2022,19698,2.5,1,"Petrol","Four-wheel Drive",20,26,0,1,1,1,0,1,28493
"Hyundai",2015,53281,3.8,1,"Petrol","Four-wheel Drive",49,52,0,1,1,1,0,0,19195
"Lexus",2022,10750,3.5,1,"Petrol","Four-wheel Drive",19,26,0,1,0,0,0,1,50000
"Kia",2015,108441,3.3,1,"Petrol","Front-wheel Drive",23,34,1,0,1,1,0,0,13995
"Chevrolet",2018,115500,5.3,1,"Petrol","Four-wheel Drive",22,22,0,1,0,1,0,0,29846
"Mazda",2022,12073,2.5,1,"Petrol","Four-wheel Drive",20,26,0,1,0,0,0,0,31587
"Hyundai",2021,19238,2,1,"Petrol","Front-wheel Drive",29,38,1,1,0,1,0,0,17981
"Honda",2022,31136,1.5,1,"Petrol","Front-wheel Drive",28,34,0,1,0,1,0,0,27900
"Chevrolet",2015,139858,5.3,1,"Petrol","Rear-wheel Drive",18,24,1,0,0,1,0,0,16951
"Nissan",2020,16488,1.6,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,1,21999
"FIAT",2017,39879,1.4,1,"Petrol","Front-wheel Drive",31,38,0,0,1,1,0,0,17998
"Hyundai",2022,295,2,1,"Petrol","Front-wheel Drive",19,24,0,1,1,1,0,0,36588
"Lexus",2015,106694,3.5,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,0,1,0,0,21379
"Mercedes-Benz",2019,41919,2,1,"Petrol","Front-wheel Drive",14,19,0,1,1,1,0,0,30999
"Audi",2018,31250,3,0,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,41950
"Lexus",2019,54886,2.5,1,"Hybrid","Front-wheel Drive",20,27,0,1,0,1,0,0,32398
"Honda",2011,152232,2.4,1,"Petrol","Four-wheel Drive",19,24,0,0,0,0,0,0,11990
"Jeep",2021,25099,3.6,1,"Petrol","Four-wheel Drive",15,20,0,1,0,1,1,1,40988
"Mazda",2006,79310,2,0,"Petrol","Rear-wheel Drive",26,33,0,0,0,0,0,0,12999
"Alfa",2019,14313,2,1,"Petrol","Four-wheel Drive",23,31,0,0,0,1,0,0,33295
"Audi",2019,0,3,1,"Petrol","Four-wheel Drive",19,25,0,1,1,1,1,0,36997
"Mercedes-Benz",2022,0,2,1,"Petrol","Four-wheel Drive",16,22,0,1,1,1,0,1,42900
"Porsche",2020,19726,2,1,"Petrol","Four-wheel Drive",0,0,0,1,1,1,0,1,47271
